Retrieved_true,Questions,paraphrases,eg_ar_question (GPT3.5 Turbo),eg_ar_question_edited ,edited_answer (GPT3.5 Turbo),,
"حرانق الغابات حرانق هائلة يصعب السيطرة عليها بسهولة، وتندلع في الغابات والأراضي ذات الغطاء النباتي، وقد شهدت الأعوام الأخيرة زيادة في حدتها، ففي عام ٢٠٢١ التهمت النيران ما يقرب من ثمانية ملايين فدان في الولايات المتحدة الأمريكية وحدها. وبالرغم من أن هذه المساحة أقل مما التهمته النيران في عام ٢٠٢٠ والذي تقدر مساحته بما يقارب اثني عشر مليون فدان، فقد زادت صعوبة مكافحة الحرائق عن ذي قبل لسرعة انتشارها.",كيف تأثرت الولايات المتحدة بحرائق الغابات في الأعوام الأخيرة؟,How have the United States been affected by forest fires in recent years?, ازاي تأثرت أمريكا بحرائق الغابات في السنين اللي فاتت؟, هي  أمريكا اتأثرت ازاي بحرايق الغابات في السنين اللي فاتت؟,"تأثرت الولايات المتحدة بحرائق الغابات في الأعوام الأخيرة بشكل كبير، حيث تزايدت حدتها وصعوبة مكافحتها بسبب سرعة انتشارها. في عام ٢٠٢١، التهمت النيران ما يقرب من ثمانية ملايين فدان في الولايات المتحدة الأمريكية وحدها، وهو رقم أقل من العام السابق والذي بلغ اثني عشر مليون فدان، ولكن مع ذلك زادت صعوبة مكافحة الحرائق بسبب سرعة انتشارها.",,
"لتعود درجة حرارة الأرض لما كانت عليه، فإن أقصى ما تستطيع فعله هو الحد منها وجعلها ضمن مقبولة نوعا ما؛ فلا تهدد الحياة على الأرض، فقد كشفت التقارير العلمية أن تزايد الانبعاثات الغازية الناجمة عن ظاهرة الاحتباس الحرارى قد يكون له تأثيرات أخطر مما هو معتقد. ويتخوف العلماء من ذوبان الجليد و قارة (جرينلاند) والذى قد يقود إلى ارتفاع مستوى البحار حوالي ٧ أمتار فى غضون السنوات الألف المقبلة",ماذا كشفت التقارير العلمية عن تزايد الانبعاثات الغازية؟,What did scientific reports reveal about the increase in gas emissions?, ايه اللي كشفت عنه التقارير العلمية بخصوص زيادة الانبعاثات الغازية؟, ايه اللي كشفت عنه التقارير العلمية بخصوص زيادة الانبعاثات الغازية؟,كشفت التقارير العلمية أن تزايد الانبعاثات الغازية الناجمة عن ظاهرة الاحتباس الحراري قد يكون له تأثيرات أخطر مما هو معتقد.,,
"لكن يقطع حديثي مع ذلك المزعج صوت رقيق عذب يحمل في صوته أياماً لم تنفد وأملاً لا ينقطع وشغفاً مستمراً. فاتجهت بأنظاري إلى مصدر ذلك الصوت الذي اقتربت صاحبته فإذا هي إحدى جيراننا الأعزاء والتي هاجرت منذ دهر، لكن ملامحها لم تتغير كأنها لم يمر بها العمر، بل ما زالت تحتفظ برونقها وسماء وجهها الصافي الذي لا يحمل أي غيوم، فاتسعت حدقة عيني وتخشبت ملامحي وهربت كلماتي، حتى ابتلعت ريقي وأغمضت عيني لحظات ثم صحت بصوت يملؤه الاندهاش: يسرية؟! فأجابت بهدوء: لا، أنا ابنتها ليلى. حينها أدركت أنه ما عاد ماء ينفع أو غصن يتمسك بنا. فحاولت تجاوز الأمر بحديث لم يتجاوز كثيراً ثرثرة رجل تخطى الخمسين، واستأنفت طريقي إلى منزل زوجتي الذي أصبح يمتلئ بذكرياتنا الدافئة ويعوضني عن درجات السلم وبداية أيام خريف العمر.",ما الذي أدركه الكاتب بعد حديثه مع ليلى؟,What did the writer understand after his conversation with Leila?, ايه اللي فهمه الكاتب بعد محادثته مع ليلى؟, ايه اللي فهمه الكاتب بعد ما اتكلم مع ليلى؟,"الكاتب أدرك أن الزمن قد مر وأنه لم يعد هناك علاقة قديمة تجمعه بيسرية، وأن الذكريات الدافئة في منزل زوجته هي التي تعوضه عن تلك العلاقة السابقة.",,
"راجع فريق (هامبتون) البحثي أولا الأبحاث الموجودة التي تطرقت لما رصد تحت الغطاء الثلجي في الصيف في مائة بحيرة ما بين عامي 1940م و2015م، فاختلفت النتائج من بحيرة إلى أخرى وفقا لنوع الغطاء الثلجي ولمستوى نفاذ أشعة الشمس من خلاله، وقد وجدوا أن الحياة في البحيرات لا تتوقف عندما يغطيها الثلج، ولكنها تبدأ في عملية تكوين الطعام للكائنات الحية لتستهلكه في الصيف، وبالرغم من درجات الحرارة المنخفضة في الشتاء والتي تبطئ حركة الحياة، فإن الطحالب والعوالق الحيوانية موجودة بكثرة، إذ تعمل على إنتاج مصادر لغذاء الأسماك وغيرها من الكائنات المائية لما بعد الشتاء.",ما هو الاختلاف في نتائج الأبحاث من بحيرة إلى أخرى؟,What is the difference in research results from one lake to another?, ايه الفرق في نتائج الأبحاث من بحيرة للتانية؟, ايه الفرق في نتايج الأبحاث من بحيرة للتانية؟,الاختلاف في نتائج الأبحاث من بحيرة إلى أخرى يعود إلى نوع الغطاء الثلجي ومستوى نفاذ أشعة الشمس من خلاله.,,
"وقد أصبح ظاهرة يبئية محيرة، فلما انخفضت درجة الحرارة نصف درجة مئوية عن معدلها لمدة قرنين منذ عام ١٥٧٠م مرت أوروبا بعصر جليدى جعل الفلاحين يهجون من أراضيهم ويعانون من المجاعة لقله المحاصيل. وعلى النقيض فلو زادت درجة الحرارة زيادة طفيفة عن متوسطها فستجعل الدفء يطول وفترات الصقيع والبرد تقل؛ مما يجعل النباتات تنمو والمحاصيل تتضاعف والحشرات المعمرة تسعى وتنتشر.",كيف تؤثر زيادة درجة الحرارة على فترات الصقيع والبرد؟,How does an increase in temperature affect frost and cold periods?,ازاي زيادة درجة الحرارة بتأثر على فترات الصقيع والبرد؟,ازاي زيادة درجة الحرارة بتأثر على فترات الصقيع والبرد؟,"تؤدي زيادة درجة الحرارة إلى تقليل فترات الصقيع والبرد، مما يجعل الدفء يطول ويساعد على نمو النباتات وتضاعف المحاصيل وانتشار الحشرات المعمرة.",,
"لكن يقطع حديثي مع ذلك المزعج صوت رقيق عذب يحمل في صوته أياماً لم تنفد وأملاً لا ينقطع وشغفاً مستمراً. فاتجهت بأنظاري إلى مصدر ذلك الصوت الذي اقتربت صاحبته فإذا هي إحدى جيراننا الأعزاء والتي هاجرت منذ دهر، لكن ملامحها لم تتغير كأنها لم يمر بها العمر، بل ما زالت تحتفظ برونقها وسماء وجهها الصافي الذي لا يحمل أي غيوم، فاتسعت حدقة عيني وتخشبت ملامحي وهربت كلماتي، حتى ابتلعت ريقي وأغمضت عيني لحظات ثم صحت بصوت يملؤه الاندهاش: يسرية؟! فأجابت بهدوء: لا، أنا ابنتها ليلى. حينها أدركت أنه ما عاد ماء ينفع أو غصن يتمسك بنا. فحاولت تجاوز الأمر بحديث لم يتجاوز كثيراً ثرثرة رجل تخطى الخمسين، واستأنفت طريقي إلى منزل زوجتي الذي أصبح يمتلئ بذكرياتنا الدافئة ويعوضني عن درجات السلم وبداية أيام خريف العمر.",من كانت صاحبة الصوت العذب الذي سمعه الكاتب؟,Paraphrased question: من كانت الشخصية التي سمعها الكاتب تتمتع بصوت عذب؟, مين كانت اللي صاحبة الصوت العذب اللي سمعه الكاتب؟, مين كانت اللي صاحبة الصوت العذب اللي سمعه الكاتب؟,"صاحبة الصوت العذب التي سمعها الكاتب كانت إحدى جيرانهم الأعزاء، والتي اسمها ليلى.",,
"تشير الإحصاءات إلى أنه بحلول عام ٢٠٢٥ م سيعيش نصف سكان العالم في مناطق تعاني من نقص حاد في المياه الصالحة للشرب، كما أن العوامل الأخرى من زيادة النمو السكاني في العالم وارتفاع تأثير ظاهرة الاحتباس الحراري ستعرض موارد المياه العذبة في العالم للتوتر والاستنزاف على نحو متزايد، الأمر الذي يضع على عاتق المجتمع العلمي الدور الأكبر في الخروج بحلول مجدية واكتشافات تقنية تلبي الاحتياجات البشرية للمياه العذبة والنقية، وستحتاج المدن الحضرية المستقبلية حول العالم إلى أكثر من استدامة وإعادة تدوير المياه بصورة أكثر كفاءة لتتكيف مع المناخ الحار والإجهاد المائي بسبب الزيادة السكانية.",ماذا ستحتاج المدن الحضرية المستقبلية حول العالم للتكيف مع المناخ الحار والإجهاد المائي؟,What will future urban cities around the world need to adapt to hot climates and water stress?, ايه اللي هتحتاجه المدن الحضرية المستقبلية حول العالم عشان يتكيفوا مع الجو الحار وضغط المياه؟, ايه اللي هتحتاجه المدن الحضرية المستقبلية حول العالم عشان تتكيف مع الجو الحر نقص الميه؟,ستحتاج المدن الحضرية المستقبلية حول العالم إلى أكثر من استدامة وإعادة تدوير المياه بصورة أكثر كفاءة لتتكيف مع المناخ الحار والإجهاد المائي بسبب الزيادة السكانية.,,
"لاحظ العلماء - منذ زمن - أن ارتفاع درجة الحرارة الصغرى ليلاً سببه كثافة الغيوم بالسماء؛ لأنها تحتفظ تحتها بالحرارة المنبعثة من سطح الأرض. ولا تسربها للأجواء العليا أو الفضاء. وهذا ما يطلق عليه ظاهرة الاحتباس الحراري أو ما يقال بالدفيئة للأرض أو ظاهرة البيوت الزجاجية: مما يجعل حرارة النهار أبرد لأن هذه السحب تعكس ضوء الشمس بكميات كبيرة ولا تجعله ينفذ منها للأرض كأنها حجب للشمس أو ستر لحرارتها، كما نجد أن التربة تزداد رطوبة في الأيام المطيرة،     ورغم كثرة الغيوم وكثافتها بالسماء إلا أن درجة الحرارة لا ترتفع لأن طاقة أشعة الشمس تُستنفد في عملية التبخير والتجفيف للتربة.",ماذا يطلق على ظاهرة الاحتفاظ بالحرارة تحت الغيوم؟,What is the term for the phenomenon of retaining heat under the clouds?, اسمها ايه الظاهرة اللي بتحتفظ بالحرارة تحت الغيوم؟, اسمها ايه الظاهرة اللي بتحتفظ بالحرارة تحت الغيوم؟,يُطلق عليها ظاهرة الاحتباس الحراري أو ما يقال بالدفيئة للأرض أو ظاهرة البيوت الزجاجية.,,
"من الآثار السلبية المباشرة لحرائق الغابات القضاء على مساحات واسعة من الغطاء النباتي، مثل الغابات المطيرة التي تستغرق وقتاً طويلاً لتعود إلى طبيعتها، وتتسبب الحرائق أيضاً في نفوق آلاف الحيوانات، وينجو بعضها بالاختباء تحت الأرض أو الهروب إلى مناطق آمنة، وكذلك ينتج عن حرائق الغابات دخان كثيف يؤثر في نقاء الهواء ويضر برئتي الإنسان، فضلاً عن انبعاث كميات هائلة من الميثان وثاني أكسيد الكربون؛ فتزداد درجات حرارة المناخ، وتتأثر مصادر المياه وجودتها ما يؤدي إلى تدمير مواطن الحيوانات.",ما هي الغازات الضارة التي تنبعث نتيجة حرائق الغابات؟,What are the harmful gases emitted as a result of forest fires?, ايه الغازات الضارة اللي بتنبعث من حرائق الغابات؟, ايه الغازات الضارة اللي بتنبعث من حرايق الغابات؟,الميثان وثاني أكسيد الكربون.,,
"راجع فريق (هامبتون) البحثي أولا الأبحاث الموجودة التي تطرقت لما رصد تحت الغطاء الثلجي في الصيف في مائة بحيرة ما بين عامي 1940م و2015م، فاختلفت النتائج من بحيرة إلى أخرى وفقا لنوع الغطاء الثلجي ولمستوى نفاذ أشعة الشمس من خلاله، وقد وجدوا أن الحياة في البحيرات لا تتوقف عندما يغطيها الثلج، ولكنها تبدأ في عملية تكوين الطعام للكائنات الحية لتستهلكه في الصيف، وبالرغم من درجات الحرارة المنخفضة في الشتاء والتي تبطئ حركة الحياة، فإن الطحالب والعوالق الحيوانية موجودة بكثرة، إذ تعمل على إنتاج مصادر لغذاء الأسماك وغيرها من الكائنات المائية لما بعد الشتاء.",كيف تؤثر درجات الحرارة المنخفضة في الشتاء على حركة الحياة في البحيرات؟,كيف تؤثر درجات الحرارة المنخفضة في الشتاء على النشاط الحيوي في البحيرات؟,ازاي الحرارة الباردة في الشتا بتأثر على حركة الحياة في البحيرات؟,ازاي الحرارة الباردة في الشتا بتأثر على حركة الحياة في البحيرات؟,"تبطئ درجات الحرارة المنخفضة في الشتاء حركة الحياة في البحيرات، ولكن لا توقفها تماماً. فالطحالب والعوالق الحيوانية ما زالت موجودة بكثرة وتقوم بعملية تكوين الطعام للكائنات الحية في البحيرات، مما يساهم في إنتاج مصادر غذاء للأسماك والكائنات المائية الأخرى في فصل الصيف.",,
"بدأت في مراقبة الشجرة التي أمام فناء منزلي كأنني أراها للمرة الأولى: فنظرتنا إلى الأشياء تختلف بمرور العمر، لا شيء يتبقى منها إلا خدوش الروح وندبات القلب. في بلوغ الخامسة والخمسين ما كنت ألاحظ تساقط الأوراق التي كانت منذ أيام شديدة النضارة لا يشوبها شيء، لونها أخضر لامع يظهر بقوة مفرطة. لا شيء إلا أيام وتتساقط تلك الأوراق تساقط استسلام ورضوخ للأيام، ما عاد ماء ينفع أو غصن يتمسك بها، فالأيام صبغتها بألوان أخرى، وليس أمامها إلا السقوط كسائر الأشياء. فدورة الأيام لا تعرف الاستثناء.",ما الذي لاحظه الكاتب عن تساقط الأوراق؟,What did the writer notice about the falling of leaves?, ايه اللي لاحظه الكاتب عن وقوع الورق؟, ايه اللي لاحظه الكاتب عن وقوع الورق؟,"الكاتب لاحظ أن تساقط الأوراق يعبر عن استسلام ورضوخ للأيام، حيث لم يعد هناك ماء ينفع أو غصن يتمسك بها، وأن الأيام صبغتها بألوان أخرى ولم يبقى لها سوى السقوط كسائر الأشياء.",,
"من الآثار السلبية المباشرة لحرائق الغابات القضاء على مساحات واسعة من الغطاء النباتي، مثل الغابات المطيرة التي تستغرق وقتاً طويلاً لتعود إلى طبيعتها، وتتسبب الحرائق أيضاً في نفوق آلاف الحيوانات، وينجو بعضها بالاختباء تحت الأرض أو الهروب إلى مناطق آمنة، وكذلك ينتج عن حرائق الغابات دخان كثيف يؤثر في نقاء الهواء ويضر برئتي الإنسان، فضلاً عن انبعاث كميات هائلة من الميثان وثاني أكسيد الكربون؛ فتزداد درجات حرارة المناخ، وتتأثر مصادر المياه وجودتها ما يؤدي إلى تدمير مواطن الحيوانات.",كيف يمكن للحيوانات النجاة من حرائق الغابات؟,كيف يمكن للحيوانات البقاء على قيد الحياة خلال الحرائق في الغابات؟,ازاي الحيوانات تقدر تنجو من حرائق الغابات؟,ازاي الحيوانات تقدر تنجو من حرايق الغابات؟,يمكن للحيوانات النجاة من حرائق الغابات عن طريق الاختباء تحت الأرض أو الهروب إلى مناطق آمنة خارج نطاق الحريق.,,
"قبل قيام الثورة الصناعية كان تركيز ثانى أكسيد الكربون ٨٠؟ جزةا فى المليون، رغم ضالة هذه النسية إلا أن غاز ثاي أكسيد الكريون قد لعب دورا هاما فى الحفاظ علي درجة حرارة الأرض دافنة ومناسية للحياة، ويعود ذلك إلى قدرة جرى» ثاى أكسيد الكربون على حبس الطاقة الحرارية المنعكسة من سطح الأرض، ومن ثم بدلا من ارتداد هذه الطاقة الحرارية إلى الفضاء الخارجى فإن هذا الغازيقوم بحفلها قريبة من سطح الأرص. مع بد» الثورة الصناعية بدأ الإنسان باستخدام الوقود الأحفورى (نفط - غاز - فحم) بكميات كبيرة ومترايدة، وفى خمسينيات القرن الماضى ارتفع تركيز ثانى أكسيد الكربون فى الغلاف الجوى إلى ٣١٥ جزءا في المليون، وقد أدث هذه الزيادة بالفعل إلى ازدياد فى درجة حرارة الأرض.",ما دور ثاني أكسيد الكربون في الحفاظ على درجة حرارة الأرض قبل الثورة الصناعية؟,What was the role of carbon dioxide in maintaining the Earth's temperature before the Industrial Revolution?, ايه دور غاز ثاني أكسيد الكربون في الحفاظ على حرارة الأرض قبل الثورة الصناعية؟, ايه دور غاز ثاني أكسيد الكربون في الحفاظ على حرارة الأرض قبل الثورة الصناعية؟,"كان دور ثاني أكسيد الكربون في الحفاظ على درجة حرارة الأرض قبل الثورة الصناعية هو حبس الطاقة الحرارية المنعكسة من سطح الأرض ومنعها من الارتداد إلى الفضاء الخارجي، مما ساهم في إبقاء درجة حرارة الأرض مناسبة للحياة.",,
"لتعود درجة حرارة الأرض لما كانت عليه، فإن أقصى ما تستطيع فعله هو الحد منها وجعلها ضمن مقبولة نوعا ما؛ فلا تهدد الحياة على الأرض، فقد كشفت التقارير العلمية أن تزايد الانبعاثات الغازية الناجمة عن ظاهرة الاحتباس الحرارى قد يكون له تأثيرات أخطر مما هو معتقد. ويتخوف العلماء من ذوبان الجليد و قارة (جرينلاند) والذى قد يقود إلى ارتفاع مستوى البحار حوالي ٧ أمتار فى غضون السنوات الألف المقبلة",ما الهدف الأساسي للحد من ارتفاع درجة حرارة الأرض؟,What is the main goal of reducing the increase in Earth's temperature?, ايه الهدف الأساسي لتقليل ارتفاع حرارة الأرض؟, ايه الهدف الأساسي لتقليل ارتفاع حرارة الأرض؟,"الهدف الأساسي للحد من ارتفاع درجة حرارة الأرض هو الحفاظ على البيئة والحياة على الأرض من تأثيرات الاحتباس الحراري، مثل ذوبان الجليد وارتفاع مستوى البحار.",,
"لكن فكرة جديدة أشرقت علي، إذ كنت أسير في الطريق مفكراً فيما أنا فيه لما تصطرب له عند أشد الناس ضبطاً لنفسه وإمساكاً بزمام أعصابه فقد تعذرت علي متابعة فكري لكثرة ما في الطريق من أصوات؛ وعندئذ حلا لي أن أعد هذه الأصوات، فإذا بي أبلغ في عدها المئات وبغتة قفزت قفزة لو رآها الناس لقالوا مسه الجنون، وصحت لنفسي قائلاً: وجدتها، وجدتها! وجدت العلة في اتخاذ البومة شعاراً للحكمة ورمزاً لبعد النظر؛ العلة هي الصمت؛ بلى وجدت العلة، لماذا أقفرت بلادنا وأصابها العقم! آلاف السنين، لا تنجب المصلحين العاملين؟ العلة هي هذه الجلبة وهذا الصياح إيه والله، لقد صدق من قال إنه إذا كان الكلام من فضة فالسكوت من ذهب: وأنا أريد هنا بالكلام والسكوت أوسع ما يفهمه من هاتين اللفظتين من معنى فإذا فهمت من اللفظتين معناهما الواسع، أدركت ما أريد أن أسوقه إليك حين أنبئك أن الصمت هو السر في حكمة البوم، وأن الجلبة هي التي أعقمت بلادنا عن إنجاب المصلحين العاملين.",ما هو السبب الذي أدى إلى إقفار بلاد الكاتب وإصابتها بالعقم؟,What is the reason that led to the decline of the writer's country and its infertility?, ايه السبب اللي أدي لإقفار بلاد الكاتب وإصابتها بالعقم؟, ايه السبب اللي أدي لإقفار بلاد الكاتب وإصابتها بالعقم؟,"السبب الذي أدى إلى إقفار بلاد الكاتب وإصابتها بالعقم هو الجلبة والصياح، وعدم الاهتمام بالصمت والتفكير العميق والحكمة.",,
"ولكن كيف سيستجيب النظام البيئي للبحيرات مع ارتفاع درجات الحرارة على الأرض؟ فالبحيرات تشكل 3% فقط من مساحة كوكب الأرض، ولكنها تحتجز كميات من الكربون تفوق ما تحتجزه المحيطات جميعها؛ فهل ستقوم البحيرات بإطلاق كميات أكبر من غازي ثاني أكسيد الكربون والميثان فترتفع درجة حرارتها؟ ما يمثل تهديدات للنظام البيئي للمسطحات المائية العذبة نتيجة الاحترار العالمي، هذا ما يزيد الضغط على النظام البيئي للبحيرات الذي يعاني بالفعل من أثر الأنواع المائية الغازية، والتغيرات الضارة في استخدام الأراضي، ومصادر التلوث غير المحددة، والتلوث الكيميائي السام، وتشمل التأثيرات المحتملة للاحتباس الحراري قلة مستويات المياه؛ نظرا لأن الغطاء الثلجي المتناقص سيؤدي إلى زيادة نسبة البخر وكذلك زيادة درجة حرارة المياه.",كيف سيستجيب النظام البيئي للبحيرات مع ارتفاع درجات الحرارة على الأرض؟,How will the ecosystem respond to lakes with rising temperatures on Earth?, ازاي النظام البيئي هيتعامل مع ارتفاع درجات الحرارة على الأرض في البحيرات؟, ازاي النظام البيئي للبحيرات هيتعامل مع ارتفاع درجات الحرارة على الأرض ؟,"سيستجيب النظام البيئي للبحيرات بزيادة انبعاثات غازي ثاني أكسيد الكربون والميثان مما قد يؤدي إلى ارتفاع درجة حرارة البحيرات. هذا يمثل تهديداً للنظام البيئي للمسطحات المائية العذبة نتيجة الاحترار العالمي، ويزيد الضغط على النظام البيئي للبحيرات الذي يعاني بالفعل من عدة عوامل ضارة مثل الأنواع المائية الغازية والتلوث الكيميائي.",,
"تتخذ البومة شعارًا للحكمة وبعد النظر؛ تراها مرسومة على الكتب أحيانًا ليدل الناشر على ما تحويه كتبه من حكمة خالدة؛ شهد لها الناس منذ الأزل بصدق النظر. وحدث أني كنت أقرأ كتابًا، وكانت البومة على غلافه شعارًا للناشر، فسألت نفسي: لماذا اتخذ هذا الطائر المشئوم رمزًا للحكمة؟ أيكون ذلك للعينين المفتوحتين اللتين لا ينسدل عليهما الجفنان في ظلمة المساء؟ أتكون العينان المفتوحتان قد أغرتا الرامزين أن يتخذوا من دوام الإبصار دليلًا على سداد البصيرة وبعد النظر؟ أم يكون ذلك لما تعانيه البومة في الليل من سهر حين يكون الخليون في مخادعهم نومًا غافلين عن الطبيعة بكل ما فيها من جلال وجمال؟ أم تكون الجلسة الساكنة الهادئة الرزينة هي التي أغرت الرامزين أن يشيروا بها إلى التأمل العميق فاتخذوا البومة شعارًا لهذا كله؟",ماذا كان يفعل الكاتب عندما رأى البومة على غلاف الكتاب؟,What did the writer do when he saw the owl on the book cover?, ايه اللي الكاتب كان بيعمله لما شاف البومة على غلاف الكتاب؟, ايه اللي الكاتب كان بيعمله لما شاف البومة على غلاف الكتاب؟,كان الكاتب يتساءل عن سبب اختيار البومة كرمز للحكمة ويتأمل في الأسباب المحتملة لذلك.,,
"تشير الإحصاءات إلى أنه بحلول عام ٢٠٢٥ م سيعيش نصف سكان العالم في مناطق تعاني من نقص حاد في المياه الصالحة للشرب، كما أن العوامل الأخرى من زيادة النمو السكاني في العالم وارتفاع تأثير ظاهرة الاحتباس الحراري ستعرض موارد المياه العذبة في العالم للتوتر والاستنزاف على نحو متزايد، الأمر الذي يضع على عاتق المجتمع العلمي الدور الأكبر في الخروج بحلول مجدية واكتشافات تقنية تلبي الاحتياجات البشرية للمياه العذبة والنقية، وستحتاج المدن الحضرية المستقبلية حول العالم إلى أكثر من استدامة وإعادة تدوير المياه بصورة أكثر كفاءة لتتكيف مع المناخ الحار والإجهاد المائي بسبب الزيادة السكانية.",ما هي العوامل الأخرى التي ستؤثر على موارد المياه العذبة في العالم؟,What are the other factors that will impact the freshwater resources in the world?, ايه العوامل التانية اللي هتأثر على موارد المياه العذبة في الدنيا؟, ايه العوامل التانية اللي هتأثر على موارد المية العذبة في العالم؟,العوامل الأخرى التي ستؤثر على موارد المياه العذبة في العالم هي زيادة النمو السكاني وارتفاع تأثير ظاهرة الاحتباس الحراري.,,
"بدأت في مراقبة الشجرة التي أمام فناء منزلي كأنني أراها للمرة الأولى: فنظرتنا إلى الأشياء تختلف بمرور العمر، لا شيء يتبقى منها إلا خدوش الروح وندبات القلب. في بلوغ الخامسة والخمسين ما كنت ألاحظ تساقط الأوراق التي كانت منذ أيام شديدة النضارة لا يشوبها شيء، لونها أخضر لامع يظهر بقوة مفرطة. لا شيء إلا أيام وتتساقط تلك الأوراق تساقط استسلام ورضوخ للأيام، ما عاد ماء ينفع أو غصن يتمسك بها، فالأيام صبغتها بألوان أخرى، وليس أمامها إلا السقوط كسائر الأشياء. فدورة الأيام لا تعرف الاستثناء.",ماذا تعني دورة الأيام بحسب النص؟,What does the cycle of days mean according to the text?, ايه معنى دورة الأيام حسب النص؟, ايه معنى دورة الأيام حسب النص؟,"إن دورة الأيام تعني أن كل شيء في الحياة يمر بمراحل مختلفة، وأنه لا مفر من مواجهة التغير والتقدم في العمر، وأن الحياة تستمر في الحركة والتغير دون استثناء.",,
"تتجمد نحو خمسين مليون بحيرة موسميا، وكان من المعتقد أن الحياة تحت سطوحها الجليدية تتوقف في فصل الشتاء، إلا أن الدراسات التي تجرى على البحار المتجمدة أثبتت أنه على عكس الاعتقادات الماضية، فإن الحياة تحت الثلج مزدهرة ونشطة للغاية، وقد أجريت بعض الدراسات السابقة على حالة البحيرات في الصيف، ولكننا لم نعلم إلا قليلا عما يحدث تحت الغطاء الثلجي في فصل الشتاء، من هنا بدأت (ستيفاني هامبتون) مديرة مركز البحوث البيئية في (جامعة واشنطن) تجميع البيانات الخاصة بحالة البحيرات في الشتاء وتحليلها، وذلك من أجل مقارنتها بحالتها في الصيف.",كم عدد البحيرات التي تتجمد موسمياً؟,How many lakes freeze seasonally?, كام بحيرة بتجمد موسمياً؟, كام بحيرة بتتجمد موسمياً؟,تتجمد نحو خمسين بحيرة موسمياً.,,
"تشير الإحصاءات إلى أنه بحلول عام ٢٠٢٥ م سيعيش نصف سكان العالم في مناطق تعاني من نقص حاد في المياه الصالحة للشرب، كما أن العوامل الأخرى من زيادة النمو السكاني في العالم وارتفاع تأثير ظاهرة الاحتباس الحراري ستعرض موارد المياه العذبة في العالم للتوتر والاستنزاف على نحو متزايد، الأمر الذي يضع على عاتق المجتمع العلمي الدور الأكبر في الخروج بحلول مجدية واكتشافات تقنية تلبي الاحتياجات البشرية للمياه العذبة والنقية، وستحتاج المدن الحضرية المستقبلية حول العالم إلى أكثر من استدامة وإعادة تدوير المياه بصورة أكثر كفاءة لتتكيف مع المناخ الحار والإجهاد المائي بسبب الزيادة السكانية.",لماذا ستحتاج المدن الحضرية المستقبلية إلى تحسين كفاءة استدامة وإعادة تدوير المياه؟,Why will future urban cities need to improve the efficiency of water sustainability and recycling?,ليه المدن الحضرية المستقبلية هتحتاج تطوير كفاءة استدامة وإعادة تدوير المياه؟,ليه المدن الحضرية المستقبلية هتحتاج تطوير كفاءة استدامة وإعادة تدوير الميه؟,"ستحتاج المدن الحضرية المستقبلية إلى تحسين كفاءة استدامة وإعادة تدوير المياه بسبب زيادة النمو السكاني في العالم وارتفاع تأثير ظاهرة الاحتباس الحراري، مما سيعرض موارد المياه العذبة للتوتر والاستنزاف على نحو متزايد.",,
"ويتالف الهواء الجوى يشكل أساسئ من غازى النيتروجين (حوالى ٧٩) والأكسجين (حوالى ٢٠). اضافة إلي تسب ضئيلة جدا من غازات أخرى مثل ثاي أكسيد الكريون والأرغون، وتعتمد الحياة - كما نعرفها اليوم - على توازن هذه النسب بهذا الشكل. وإن أى تغير فى هذه النسب - حتى لو كان ضنيلا - قد يؤذى الى نتاج سلبية على نواح كثيرة من الحياة على الأرض",ما الذي قد يحدث إذا تغيرت نسب الغازات في الهواء الجوي؟,What could happen if the gas ratios in the atmosphere changed?, ايه اللي ممكن يحصل لو نسب الغازات في الهواء الجوي تغيرت؟, ايه اللي ممكن يحصل لو نسب الغازات في الهوا  تغيرت؟,"إذا تغيرت نسب الغازات في الهواء الجوي، قد يؤدي ذلك إلى تأثيرات سلبية على الحياة على الأرض، حيث يعتمد توازن النسب الحالي على النيتروجين والأكسجين وغازات أخرى لدعم الحياة كما نعرفها اليوم. أي تغير في هذا التوازن قد يؤدي إلى تأثيرات سلبية على البيئة والكائنات الحية التي تعتمد على هذا التوازن للبقاء والازدهار.",,
"بدأت في مراقبة الشجرة التي أمام فناء منزلي كأنني أراها للمرة الأولى: فنظرتنا إلى الأشياء تختلف بمرور العمر، لا شيء يتبقى منها إلا خدوش الروح وندبات القلب. في بلوغ الخامسة والخمسين ما كنت ألاحظ تساقط الأوراق التي كانت منذ أيام شديدة النضارة لا يشوبها شيء، لونها أخضر لامع يظهر بقوة مفرطة. لا شيء إلا أيام وتتساقط تلك الأوراق تساقط استسلام ورضوخ للأيام، ما عاد ماء ينفع أو غصن يتمسك بها، فالأيام صبغتها بألوان أخرى، وليس أمامها إلا السقوط كسائر الأشياء. فدورة الأيام لا تعرف الاستثناء.",كيف تؤثر الأيام على الأشياء؟,How do days affect things?,إزاي الأيام بتأثر في الحاجات؟,إزاي الأيام بتأثر في الحاجات؟,"تؤثر الأيام على الأشياء بتغييرها وتلوينها بألوان جديدة، وتجعلها تفقد نضارتها وتتساقط بمرور الوقت، مما يجعلها تستسلم وترضخ لقوة الزمن وتتغير بشكل لا رجعة فيه.",,
